시도,시군구,도로명
서울특별시,강남구,강남대로
서울특별시,강남구,봉은사로
서울특별시,강남구,테헤란로
서울특별시,강남구,도산대로
서울특별시,강남구,선릉로
서울특별시,강남구,영동대로
서울특별시,강남구,논현로
서울특별시,서초구,반포대로
서울특별시,서초구,서초대로
서울특별시,서초구,강남대로
서울특별시,서초구,신반포로
서울특별시,서초구,남부순환로
서울특별시,송파구,올림픽로
서울특별시,송파구,문정로
서울특별시,송파구,중대로
서울특별시,송파구,가락로
서울특별시,송파구,백제고분로
서울특별시,송파구,위례성대로
서울특별시,송파구,오금로
서울특별시,강동구,천호대로
서울특별시,강동구,성내로
서울특별시,강동구,양재대로
서울특별시,강동구,올림픽로
서울특별시,광진구,능동로
서울특별시,광진구,아차산로
서울특별시,광진구,광나루로
서울특별시,광진구,자양로
서울특별시,성동구,왕십리로
서울특별시,성동구,금호로
서울특별시,성동구,마조로
서울특별시,성동구,행당로
서울특별시,동대문구,왕산로
서울특별시,동대문구,장한로
서울특별시,동대문구,답십리로
서울특별시,동대문구,천호대로
서울특별시,중랑구,면목로
서울특별시,중랑구,망우로
서울특별시,중랑구,중랑천로
서울특별시,성북구,종암로
서울특별시,성북구,화랑로
서울특별시,성북구,보문로
서울특별시,강북구,도봉로
서울특별시,강북구,삼양로
서울특별시,강북구,노해로
서울특별시,도봉구,노해로
서울특별시,도봉구,도봉로
서울특별시,노원구,노해로
서울특별시,노원구,한글비석로
서울특별시,노원구,동일로
서울특별시,은평구,연서로
서울특별시,은평구,불광로
서울특별시,은평구,증산로
서울특별시,서대문구,연희로
서울특별시,서대문구,명지대길
서울특별시,서대문구,통일로
서울특별시,마포구,월드컵로
서울특별시,마포구,양화로
서울특별시,마포구,마포대로
서울특별시,마포구,신촌로
서울특별시,마포구,독막로
서울특별시,용산구,청파로
서울특별시,용산구,원효로
서울특별시,용산구,한강대로
서울특별시,용산구,이태원로
서울특별시,중구,퇴계로
서울특별시,중구,세종대로
서울특별시,중구,필동로
서울특별시,중구,청계천로
서울특별시,중구,을지로
서울특별시,종로구,종로
서울특별시,종로구,율곡로
서울특별시,종로구,세종대로
서울특별시,종로구,자하문로
서울특별시,종로구,사직로
서울특별시,종로구,삼봉로
서울특별시,강서구,화곡로
서울특별시,강서구,공항대로
서울특별시,강서구,양천로
서울특별시,양천구,목동중앙본로
서울특별시,양천구,오목로
서울특별시,양천구,신정로
서울특별시,구로구,경인로
서울특별시,구로구,디지털로
서울특별시,구로구,구로중앙로
서울특별시,금천구,시흥대로
서울특별시,금천구,가산디지털1로
서울특별시,금천구,두산로
서울특별시,영등포구,여의대로
서울특별시,영등포구,국회대로
서울특별시,영등포구,선유로
서울특별시,영등포구,영등포로
서울특별시,동작구,상도로
서울특별시,동작구,흑석로
서울특별시,동작구,사당로
서울특별시,관악구,남부순환로
서울특별시,관악구,봉천로
서울특별시,관악구,관악로
서울특별시,관악구,난곡로